类型,链接,标题,内容
Proof,https://statproofbook.github.io//P/wald-mgf,Moment-generating function,
Proof,https://statproofbook.github.io//P/wald-mean,Mean,
Proof,https://statproofbook.github.io//P/wald-var,Variance,
Definition,https://statproofbook.github.io//D/mvn,Definition,
Proof,https://statproofbook.github.io//P/mvn-chi2,Relationship to chi-squared distribution,
Proof,https://statproofbook.github.io//P/mvn-matn,Special case of matrix-normal distribution,
Proof,https://statproofbook.github.io//P/mvn-pdf,Probability density function,
Proof,https://statproofbook.github.io//P/mvn-mean,Mean,
Proof,https://statproofbook.github.io//P/mvn-cov,Covariance,
Proof,https://statproofbook.github.io//P/mvn-dent,Differential entropy,
Proof,https://statproofbook.github.io//P/mvn-kl,Kullback-Leibler divergence,
Proof,https://statproofbook.github.io//P/mvn-ltt,Linear transformation,
Proof,https://statproofbook.github.io//P/mvn-marg,Marginal distributions,
Proof,https://statproofbook.github.io//P/mvn-cond,Conditional distributions,
Proof,https://statproofbook.github.io//P/mvn-ind,Conditions for independence,
Proof,https://statproofbook.github.io//P/mvn-indprod,Independence of products,
Definition,https://statproofbook.github.io//D/mvt,Definition,
Proof,https://statproofbook.github.io//P/mvt-pdf,Probability density function,
Proof,https://statproofbook.github.io//P/mvt-f,Relationship to F-distribution,
Definition,https://statproofbook.github.io//D/ng,Definition,
Proof,https://statproofbook.github.io//P/ng-nw,Special case of normal-Wishart distribution,
Proof,https://statproofbook.github.io//P/ng-pdf,Probability density function,
Proof,https://statproofbook.github.io//P/ng-mean,Mean,
Proof,https://statproofbook.github.io//P/ng-cov,Covariance,
Proof,https://statproofbook.github.io//P/ng-dent,Differential entropy,
Proof,https://statproofbook.github.io//P/ng-kl,Kullback-Leibler divergence,
Proof,https://statproofbook.github.io//P/ng-marg,Marginal distributions,
Proof,https://statproofbook.github.io//P/ng-cond,Conditional distributions,
Proof,https://statproofbook.github.io//P/ng-samp,Drawing samples,
Definition,https://statproofbook.github.io//D/dir,Definition,
Proof,https://statproofbook.github.io//P/dir-pdf,Probability density function,
Proof,https://statproofbook.github.io//P/dir-kl,Kullback-Leibler divergence,
Proof,https://statproofbook.github.io//P/dir-ep,Exceedance probabilities,
Definition,https://statproofbook.github.io//D/matn,Definition,
Proof,https://statproofbook.github.io//P/matn-mvn,Equivalence to multivariate normal distribution,
Proof,https://statproofbook.github.io//P/matn-pdf,Probability density function,
Proof,https://statproofbook.github.io//P/matn-mean,Mean,
Proof,https://statproofbook.github.io//P/matn-cov,Covariance,
Proof,https://statproofbook.github.io//P/matn-dent,Differential entropy,
Proof,https://statproofbook.github.io//P/matn-kl,Kullback-Leibler divergence,
Proof,https://statproofbook.github.io//P/matn-trans,Transposition,
Proof,https://statproofbook.github.io//P/matn-ltt,Linear transformation,
Proof,https://statproofbook.github.io//P/matn-marg,Marginal distributions,
Proof,https://statproofbook.github.io//P/matn-samp,Drawing samples,
Definition,https://statproofbook.github.io//D/wish,Definition,
